Namespace(method='qvit_lsq_qsam_sam', variant='B_32', nbits=4, data_path='/workspace/AOQ-main/AO_QAT/data', download=False, input_size=224, epochs=100, batch_size=64, workers=8, lr=0.0005, min_lr=1e-05, weight_decay=0.05, device='cuda', seed=42, output_dir='/workspace/AOQ-main/runs/google_vit_cifar100_qvit_lsq_qsam_sam_rho025_wu5_20260716_144000', finetune='auto', no_finetune=False, qsam_ratio=0.001, qsam_rho=0.25, qsam_warmup_epochs=5, debug_train_batches=0, debug_val_batches=0, print_freq=20)
[google-vit] source repo: /workspace/AOQ-main/third_party/vision_transformer
[qat] method=QViT-LSQ nbits=4 qsam=True loop=two_pass
[finetune] init from https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_vit_base_patch32_224_in21k-8db57226.pth
[finetune] missing (542): ['patch_embed.proj.alpha', 'patch_embed.proj.init_state', 'patch_embed.proj.act.alpha', 'patch_embed.proj.act.zero_point', 'patch_embed.proj.act.init_state', 'patch_embed.proj.act.signed', 'blocks.0.attn.norm_q.weight', 'blocks.0.attn.norm_q.bias', 'blocks.0.attn.norm_k.weight', 'blocks.0.attn.norm_k.bias', 'blocks.0.attn.qkv.alpha', 'blocks.0.attn.qkv.init_state']
[finetune] unexpected (2): ['pre_logits.fc.bias', 'pre_logits.fc.weight']
[qSAM] enabled=49 ratio=0.001 rho=0.25 loop=two_pass
[optim] base_lr=0.0005 effective_lr=6.25e-05 batch_size=64
train step=0 loss=4.5872 avg_loss=4.5872 acc1=0.00
train step=20 loss=4.5889 avg_loss=4.6044 acc1=3.12
train step=40 loss=4.5754 avg_loss=4.5920 acc1=1.56
train step=60 loss=4.5681 avg_loss=4.5824 acc1=1.56
train step=80 loss=4.4949 avg_loss=4.5672 acc1=7.81
train step=100 loss=4.4293 avg_loss=4.5500 acc1=12.50
train step=120 loss=4.4552 avg_loss=4.5315 acc1=7.81
train step=140 loss=4.3252 avg_loss=4.5145 acc1=10.94
train step=160 loss=4.3917 avg_loss=4.4968 acc1=6.25
train step=180 loss=4.2979 avg_loss=4.4809 acc1=7.81
train step=200 loss=4.3172 avg_loss=4.4658 acc1=9.38
train step=220 loss=4.3027 avg_loss=4.4481 acc1=12.50
train step=240 loss=4.2387 avg_loss=4.4313 acc1=10.94
train step=260 loss=4.1430 avg_loss=4.4148 acc1=9.38
train step=280 loss=4.1246 avg_loss=4.3984 acc1=9.38
train step=300 loss=4.1698 avg_loss=4.3812 acc1=12.50
train step=320 loss=4.0248 avg_loss=4.3656 acc1=20.31
train step=340 loss=3.9893 avg_loss=4.3483 acc1=18.75
train step=360 loss=3.8919 avg_loss=4.3299 acc1=15.62
train step=380 loss=3.9332 avg_loss=4.3137 acc1=10.94
train step=400 loss=4.0492 avg_loss=4.2968 acc1=17.19
train step=420 loss=3.9613 avg_loss=4.2813 acc1=6.25
train step=440 loss=3.8768 avg_loss=4.2645 acc1=12.50
train step=460 loss=3.6560 avg_loss=4.2475 acc1=25.00
train step=480 loss=3.7890 avg_loss=4.2309 acc1=18.75
train step=500 loss=3.8465 avg_loss=4.2141 acc1=14.06
train step=520 loss=3.7855 avg_loss=4.1967 acc1=14.06
train step=540 loss=3.7205 avg_loss=4.1796 acc1=18.75
train step=560 loss=3.7120 avg_loss=4.1621 acc1=21.88
train step=580 loss=3.6636 avg_loss=4.1453 acc1=28.12
train step=600 loss=3.6685 avg_loss=4.1286 acc1=17.19
train step=620 loss=3.8582 avg_loss=4.1124 acc1=12.50
train step=640 loss=3.6623 avg_loss=4.0960 acc1=20.31
train step=660 loss=3.5794 avg_loss=4.0799 acc1=20.31
train step=680 loss=3.2740 avg_loss=4.0633 acc1=25.00
train step=700 loss=3.3946 avg_loss=4.0453 acc1=17.19
train step=720 loss=3.3927 avg_loss=4.0271 acc1=31.25
train step=740 loss=3.4101 avg_loss=4.0113 acc1=25.00
train step=760 loss=3.3771 avg_loss=3.9957 acc1=26.56
train step=780 loss=3.3273 avg_loss=3.9788 acc1=25.00
epoch=0 train_acc1=15.003 val_acc1=42.780 val_acc5=80.150 best=42.780
train step=0 loss=3.3533 avg_loss=3.3533 acc1=26.56
train step=20 loss=3.1861 avg_loss=3.2857 acc1=29.69
train step=40 loss=3.3694 avg_loss=3.2739 acc1=34.38
train step=60 loss=3.2089 avg_loss=3.2750 acc1=39.06
train step=80 loss=3.3034 avg_loss=3.2724 acc1=37.50
train step=100 loss=2.9163 avg_loss=3.2542 acc1=40.62
train step=120 loss=3.0197 avg_loss=3.2364 acc1=34.38
train step=140 loss=3.2089 avg_loss=3.2245 acc1=31.25
train step=160 loss=3.0252 avg_loss=3.2141 acc1=31.25
train step=180 loss=3.0856 avg_loss=3.1988 acc1=31.25
train step=200 loss=2.8744 avg_loss=3.1800 acc1=28.12
train step=220 loss=3.1507 avg_loss=3.1659 acc1=26.56
train step=240 loss=2.8405 avg_loss=3.1521 acc1=34.38
train step=260 loss=2.8865 avg_loss=3.1390 acc1=37.50
train step=280 loss=2.8529 avg_loss=3.1248 acc1=28.12
train step=300 loss=2.9327 avg_loss=3.1105 acc1=31.25
train step=320 loss=2.9272 avg_loss=3.0968 acc1=35.94
train step=340 loss=2.8680 avg_loss=3.0848 acc1=32.81
train step=360 loss=2.6414 avg_loss=3.0729 acc1=42.19
train step=380 loss=2.6199 avg_loss=3.0618 acc1=31.25
train step=400 loss=3.0481 avg_loss=3.0539 acc1=29.69
train step=420 loss=2.8344 avg_loss=3.0437 acc1=43.75
train step=440 loss=2.8402 avg_loss=3.0342 acc1=37.50
