Namespace(method='qvit_lsq_qsam_sam', variant='B_32', nbits=4, data_set='IMNET', data_path='/workspace/hd/data/ImageNet', download=False, input_size=224, epochs=100, batch_size=64, workers=8, lr=0.0005, min_lr=1e-05, weight_decay=0.05, device='cuda', seed=42, output_dir='/workspace/AOQ-main/runs/google_vit_imagenet_qvit_lsq_qsam_sam_rho025_wu5_wandb_20260719_070110', finetune='auto', no_finetune=False, qsam_ratio=0.001, qsam_rho=0.25, qsam_warmup_epochs=5, debug_train_batches=0, debug_val_batches=0, print_freq=20, wandb=True, wandb_project='aoq-vit-qat', wandb_entity=None, wandb_run_name='google_vit_imagenet_qvit_lsq_qsam_sam_rho025_wu5')
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: solhee0912 (solhee0912-kookmin-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/AOQ-main/AO_QAT/vit_qvit_cifar/wandb/run-20260719_070131-inu269t6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run google_vit_imagenet_qvit_lsq_qsam_sam_rho025_wu5
wandb: ⭐️ View project at https://wandb.ai/solhee0912-kookmin-university/aoq-vit-qat
wandb: 🚀 View run at https://wandb.ai/solhee0912-kookmin-university/aoq-vit-qat/runs/inu269t6
[google-vit] source repo: /workspace/AOQ-main/third_party/vision_transformer
[qat] method=QViT-LSQ nbits=4 qsam=True loop=two_pass
[finetune] init from https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_vit_base_patch32_224_in21k-8db57226.pth
[finetune] missing (542): ['patch_embed.proj.alpha', 'patch_embed.proj.init_state', 'patch_embed.proj.act.alpha', 'patch_embed.proj.act.zero_point', 'patch_embed.proj.act.init_state', 'patch_embed.proj.act.signed', 'blocks.0.attn.norm_q.weight', 'blocks.0.attn.norm_q.bias', 'blocks.0.attn.norm_k.weight', 'blocks.0.attn.norm_k.bias', 'blocks.0.attn.qkv.alpha', 'blocks.0.attn.qkv.init_state']
[finetune] unexpected (2): ['pre_logits.fc.bias', 'pre_logits.fc.weight']
[qSAM] enabled=49 ratio=0.001 rho=0.25 loop=two_pass
[optim] base_lr=0.0005 effective_lr=6.25e-05 batch_size=64
train step=0 loss=6.9428 avg_loss=6.9428 acc1=0.00
train step=20 loss=6.9337 avg_loss=6.9130 acc1=0.00
train step=40 loss=6.9308 avg_loss=6.9108 acc1=0.00
train step=60 loss=6.9177 avg_loss=6.9115 acc1=0.00
train step=80 loss=6.9181 avg_loss=6.9112 acc1=0.00
train step=100 loss=6.9072 avg_loss=6.9094 acc1=0.00
train step=120 loss=6.8756 avg_loss=6.9085 acc1=0.00
train step=140 loss=6.8939 avg_loss=6.9079 acc1=0.00
train step=160 loss=6.8628 avg_loss=6.9066 acc1=0.00
train step=180 loss=6.8706 avg_loss=6.9053 acc1=0.00
train step=200 loss=6.8732 avg_loss=6.9033 acc1=0.00
train step=220 loss=6.9030 avg_loss=6.9012 acc1=0.00
train step=240 loss=6.8390 avg_loss=6.8986 acc1=0.00
train step=260 loss=6.8652 avg_loss=6.8967 acc1=0.00
train step=280 loss=6.8330 avg_loss=6.8937 acc1=1.56
train step=300 loss=6.8011 avg_loss=6.8903 acc1=3.12
train step=320 loss=6.8309 avg_loss=6.8862 acc1=0.00
train step=340 loss=6.8336 avg_loss=6.8820 acc1=1.56
train step=360 loss=6.7565 avg_loss=6.8773 acc1=1.56
train step=380 loss=6.8012 avg_loss=6.8727 acc1=0.00
train step=400 loss=6.7766 avg_loss=6.8682 acc1=1.56
train step=420 loss=6.7772 avg_loss=6.8629 acc1=1.56
train step=440 loss=6.7321 avg_loss=6.8574 acc1=1.56
train step=460 loss=6.7248 avg_loss=6.8519 acc1=1.56
train step=480 loss=6.7168 avg_loss=6.8465 acc1=3.12
train step=500 loss=6.6635 avg_loss=6.8411 acc1=0.00
train step=520 loss=6.7149 avg_loss=6.8355 acc1=0.00
train step=540 loss=6.6438 avg_loss=6.8297 acc1=1.56
train step=560 loss=6.6548 avg_loss=6.8237 acc1=0.00
train step=580 loss=6.6161 avg_loss=6.8173 acc1=0.00
train step=600 loss=6.5822 avg_loss=6.8108 acc1=3.12
train step=620 loss=6.5816 avg_loss=6.8044 acc1=0.00
train step=640 loss=6.5974 avg_loss=6.7983 acc1=0.00
train step=660 loss=6.5996 avg_loss=6.7926 acc1=1.56
train step=680 loss=6.5324 avg_loss=6.7860 acc1=1.56
train step=700 loss=6.5316 avg_loss=6.7798 acc1=3.12
train step=720 loss=6.5721 avg_loss=6.7741 acc1=0.00
train step=740 loss=6.4908 avg_loss=6.7672 acc1=6.25
train step=760 loss=6.5457 avg_loss=6.7606 acc1=1.56
train step=780 loss=6.5043 avg_loss=6.7538 acc1=0.00
train step=800 loss=6.4686 avg_loss=6.7472 acc1=0.00
train step=820 loss=6.4815 avg_loss=6.7399 acc1=3.12
train step=840 loss=6.4614 avg_loss=6.7330 acc1=1.56
train step=860 loss=6.4221 avg_loss=6.7264 acc1=1.56
train step=880 loss=6.3624 avg_loss=6.7198 acc1=1.56
train step=900 loss=6.4210 avg_loss=6.7131 acc1=1.56
train step=920 loss=6.4165 avg_loss=6.7062 acc1=1.56
train step=940 loss=6.4010 avg_loss=6.6994 acc1=4.69
train step=960 loss=6.3102 avg_loss=6.6923 acc1=3.12
train step=980 loss=6.3800 avg_loss=6.6850 acc1=0.00
train step=1000 loss=6.3213 avg_loss=6.6783 acc1=3.12
